experiment_id,scenario,sampled_at_ms,elapsed_ms,elapsed_source,a_handler_active,approximate_not_visible,count_share_proxy,a_count_at_least_30,share_proxy_above_10_percent,criteria_proxy_met,proxy_status
reaction-20260710T141732.186490574Z,baseline-c100,1783693173216,86823,first_a_sqs_sent_timestamp,82,84,0.976190,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693173243,86948,first_a_sqs_sent_timestamp,90,77,1.168831,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693174216,87823,first_a_sqs_sent_timestamp,97,77,1.259740,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693174244,87949,first_a_sqs_sent_timestamp,95,102,0.931373,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693175219,88826,first_a_sqs_sent_timestamp,91,86,1.058140,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693175249,88954,first_a_sqs_sent_timestamp,70,73,0.958904,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693176215,89822,first_a_sqs_sent_timestamp,95,87,1.091954,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693176243,89948,first_a_sqs_sent_timestamp,100,90,1.111111,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693177216,90823,first_a_sqs_sent_timestamp,77,98,0.785714,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693177244,90949,first_a_sqs_sent_timestamp,85,91,0.934066,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693178217,91824,first_a_sqs_sent_timestamp,99,101,0.980198,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693178245,91950,first_a_sqs_sent_timestamp,99,71,1.394366,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693179215,92822,first_a_sqs_sent_timestamp,92,73,1.260274,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693179241,92946,first_a_sqs_sent_timestamp,90,97,0.927835,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693180218,93825,first_a_sqs_sent_timestamp,78,83,0.939759,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693180247,93952,first_a_sqs_sent_timestamp,70,86,0.813953,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693181216,94823,first_a_sqs_sent_timestamp,96,95,1.010526,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693181245,94950,first_a_sqs_sent_timestamp,96,75,1.280000,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693182215,95822,first_a_sqs_sent_timestamp,80,90,0.888889,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693182244,95949,first_a_sqs_sent_timestamp,82,103,0.796117,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693183224,96831,first_a_sqs_sent_timestamp,97,77,1.259740,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693183256,96961,first_a_sqs_sent_timestamp,96,78,1.230769,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693184221,97828,first_a_sqs_sent_timestamp,78,107,0.728972,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693184250,97955,first_a_sqs_sent_timestamp,87,96,0.906250,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693185217,98824,first_a_sqs_sent_timestamp,99,90,1.100000,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693185244,98949,first_a_sqs_sent_timestamp,99,94,1.053191,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693186227,99834,first_a_sqs_sent_timestamp,94,95,0.989474,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693186255,99960,first_a_sqs_sent_timestamp,90,94,0.957447,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693187216,100823,first_a_sqs_sent_timestamp,71,85,0.835294,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693187245,100950,first_a_sqs_sent_timestamp,97,90,1.077778,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693188215,101822,first_a_sqs_sent_timestamp,99,87,1.137931,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693188243,101948,first_a_sqs_sent_timestamp,83,89,0.932584,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693189214,102821,first_a_sqs_sent_timestamp,82,96,0.854167,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693189243,102948,first_a_sqs_sent_timestamp,79,71,1.112676,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693190219,103826,first_a_sqs_sent_timestamp,100,90,1.111111,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693190247,103952,first_a_sqs_sent_timestamp,95,88,1.079545,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693191217,104824,first_a_sqs_sent_timestamp,94,95,0.989474,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693191246,104951,first_a_sqs_sent_timestamp,88,88,1.000000,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693192216,105823,first_a_sqs_sent_timestamp,97,93,1.043011,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693192245,105950,first_a_sqs_sent_timestamp,97,80,1.212500,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693193216,106823,first_a_sqs_sent_timestamp,82,85,0.964706,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693193245,106950,first_a_sqs_sent_timestamp,85,103,0.825243,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693194216,107823,first_a_sqs_sent_timestamp,78,99,0.787879,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693194247,107952,first_a_sqs_sent_timestamp,95,87,1.091954,true,true,true,ok
reaction-20260710T141732.186490574Z,baseline-c100,1783693195215,108822,first_a_sqs_sent_timestamp,95,100,0.950000,true,true,true,ok
reaction-20260710T141732.186490574Z,fair-c100,1783693195243,108948,first_a_sqs_sent_timestamp,69,92,0.750000,true,true,true,ok
